x:	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.11	0.12	0.13	0.14	0.15	0.16	0.17	0.18	0.19	0.2	0.21	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.3	0.31	0.32	0.33	0.34	0.35	0.36	0.37	0.38	0.39	0.4	0.41	0.42	0.43	0.44	0.45	0.46	0.47	0.48	0.49	0.5	0.51	0.52	0.53	0.54	0.55	0.56	0.57	0.58	0.59	0.6	0.61	0.62	0.63	0.64	0.65	0.66	0.67	0.68	0.69	0.7	0.71	0.72	0.73	0.74	0.75	0.76	0.77	0.78	0.79	0.8	0.81	0.82	0.83	0.84	0.85	0.86	0.87	0.88	0.89	0.9	0.91	0.92	0.93	0.94	0.95	0.96	0.97	0.98	0.99
Accurate:	0.0129	0.0257	0.0384	0.0510	0.0636	0.0761	0.0885	0.1008	0.1131	0.1253	0.1374	0.1494	0.1614	0.1733	0.1852	0.1970	0.2087	0.2203	0.2319	0.2434	0.2548	0.2662	0.2775	0.2888	0.3000	0.3111	0.3222	0.3332	0.3441	0.3550	0.3658	0.3766	0.3873	0.3980	0.4086	0.4191	0.4296	0.4401	0.4504	0.4608	0.4710	0.4813	0.4914	0.5016	0.5116	0.5217	0.5316	0.5415	0.5514	0.5612	0.5710	0.5807	0.5904	0.6000	0.6096	0.6192	0.6287	0.6381	0.6475	0.6569	0.6662	0.6755	0.6847	0.6939	0.7031	0.7122	0.7212	0.7303	0.7392	0.7482	0.7571	0.7660	0.7748	0.7836	0.7924	0.8011	0.8098	0.8184	0.8270	0.8356	0.8441	0.8526	0.8611	0.8695	0.8779	0.8863	0.8946	0.9029	0.9112	0.9194	0.9276	0.9358	0.9439	0.9520	0.9601	0.9681	0.9761	0.9841	0.9921

Jacobi Result:	0.0136	0.0271	0.0404	0.0538	0.0670	0.0801	0.0932	0.1062	0.1190	0.1318	0.1446	0.1572	0.1698	0.1822	0.1946	0.2069	0.2191	0.2313	0.2433	0.2553	0.2672	0.2790	0.2907	0.3024	0.3140	0.3255	0.3369	0.3482	0.3595	0.3706	0.3817	0.3928	0.4037	0.4146	0.4254	0.4361	0.4468	0.4573	0.4678	0.4783	0.4886	0.4989	0.5091	0.5193	0.5294	0.5394	0.5493	0.5592	0.5690	0.5787	0.5884	0.5980	0.6076	0.6171	0.6265	0.6359	0.6452	0.6544	0.6636	0.6727	0.6818	0.6908	0.6998	0.7087	0.7175	0.7263	0.7351	0.7438	0.7524	0.7610	0.7696	0.7781	0.7865	0.7949	0.8033	0.8116	0.8199	0.8281	0.8363	0.8444	0.8525	0.8606	0.8686	0.8766	0.8846	0.8925	0.9004	0.9082	0.9160	0.9238	0.9316	0.9393	0.9470	0.9546	0.9623	0.9699	0.9774	0.9850	0.9925
Jacobi Error:	0.0007	0.0014	0.0021	0.0027	0.0034	0.0041	0.0047	0.0053	0.0060	0.0066	0.0072	0.0078	0.0083	0.0089	0.0094	0.0100	0.0105	0.0110	0.0114	0.0119	0.0124	0.0128	0.0132	0.0136	0.0140	0.0144	0.0147	0.0150	0.0153	0.0156	0.0159	0.0162	0.0164	0.0166	0.0168	0.0170	0.0171	0.0173	0.0174	0.0175	0.0176	0.0176	0.0177	0.0177	0.0177	0.0177	0.0177	0.0177	0.0176	0.0175	0.0174	0.0173	0.0172	0.0170	0.0169	0.0167	0.0165	0.0163	0.0161	0.0158	0.0156	0.0153	0.0151	0.0148	0.0145	0.0142	0.0138	0.0135	0.0132	0.0128	0.0125	0.0121	0.0117	0.0113	0.0109	0.0105	0.0101	0.0097	0.0093	0.0089	0.0084	0.0080	0.0076	0.0071	0.0067	0.0062	0.0058	0.0053	0.0049	0.0044	0.0040	0.0035	0.0031	0.0026	0.0022	0.0017	0.0013	0.0009	0.0004

G-S Result:	0.0133	0.0264	0.0395	0.0526	0.0655	0.0784	0.0911	0.1038	0.1164	0.1290	0.1414	0.1538	0.1661	0.1783	0.1905	0.2025	0.2145	0.2265	0.2383	0.2501	0.2618	0.2734	0.2849	0.2964	0.3078	0.3191	0.3304	0.3416	0.3527	0.3637	0.3747	0.3856	0.3965	0.4072	0.4179	0.4286	0.4392	0.4497	0.4601	0.4705	0.4808	0.4911	0.5013	0.5114	0.5215	0.5315	0.5414	0.5513	0.5611	0.5709	0.5806	0.5903	0.5999	0.6094	0.6189	0.6284	0.6378	0.6471	0.6564	0.6656	0.6748	0.6839	0.6930	0.7020	0.7110	0.7199	0.7288	0.7377	0.7465	0.7552	0.7639	0.7726	0.7812	0.7898	0.7983	0.8068	0.8153	0.8237	0.8321	0.8404	0.8487	0.8570	0.8652	0.8734	0.8815	0.8896	0.8977	0.9058	0.9138	0.9218	0.9297	0.9377	0.9456	0.9534	0.9613	0.9691	0.9768	0.9846	0.9923
G-S Error:	0.0004	0.0008	0.0012	0.0015	0.0019	0.0023	0.0027	0.0030	0.0034	0.0037	0.0040	0.0044	0.0047	0.0050	0.0053	0.0056	0.0059	0.0062	0.0064	0.0067	0.0069	0.0072	0.0074	0.0076	0.0078	0.0080	0.0082	0.0084	0.0086	0.0087	0.0089	0.0090	0.0091	0.0092	0.0094	0.0094	0.0095	0.0096	0.0097	0.0097	0.0098	0.0098	0.0098	0.0098	0.0098	0.0098	0.0098	0.0098	0.0097	0.0097	0.0096	0.0096	0.0095	0.0094	0.0093	0.0092	0.0091	0.0090	0.0088	0.0087	0.0086	0.0084	0.0083	0.0081	0.0079	0.0078	0.0076	0.0074	0.0072	0.0070	0.0068	0.0066	0.0064	0.0062	0.0060	0.0057	0.0055	0.0053	0.0051	0.0048	0.0046	0.0043	0.0041	0.0039	0.0036	0.0034	0.0031	0.0029	0.0026	0.0024	0.0021	0.0019	0.0017	0.0014	0.0012	0.0009	0.0007	0.0005	0.0002

SOR Result:	0.0132	0.0264	0.0395	0.0525	0.0654	0.0782	0.0909	0.1036	0.1162	0.1287	0.1411	0.1535	0.1658	0.1780	0.1901	0.2021	0.2141	0.2260	0.2378	0.2496	0.2613	0.2729	0.2844	0.2958	0.3072	0.3185	0.3298	0.3410	0.3521	0.3631	0.3741	0.3850	0.3958	0.4066	0.4173	0.4279	0.4385	0.4490	0.4594	0.4698	0.4801	0.4903	0.5005	0.5107	0.5207	0.5307	0.5407	0.5506	0.5604	0.5702	0.5799	0.5896	0.5992	0.6087	0.6182	0.6277	0.6371	0.6464	0.6557	0.6649	0.6741	0.6833	0.6924	0.7014	0.7104	0.7193	0.7282	0.7371	0.7459	0.7547	0.7634	0.7721	0.7807	0.7893	0.7979	0.8064	0.8148	0.8233	0.8317	0.8400	0.8483	0.8566	0.8649	0.8731	0.8812	0.8894	0.8975	0.9056	0.9136	0.9216	0.9296	0.9375	0.9454	0.9533	0.9612	0.9690	0.9768	0.9845	0.9923
